concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Note: No questions will be asked in the end,"Higher Engineering Mathematics, Dr. B.S. Grewal, Khanna Publication",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0884,5,1,0.0,0,publisher_citation,publisher_citation
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”","Engineering: Applying the Theory of Constraints for Business Results‖, Prentice Hall, 2003",2165113,Agile Software,SEM-V.pdf,0.2287,7,1,0.0,0,publisher_citation,publisher_citation
Self-Learning : Transfer Learning and Self,Self-Learning : Semi-Supervised and Active,2166111,Machine,SEM-V.pdf,0.606,2,1,0.4286,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Technology Stack,Database: MySQL,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1334,4,1,0.0,0,lab_or_project_course,lab_or_project_course
Riemann equations in,Note: No questions will be asked in the end,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.049,14,1,0.0909,0,truncated_fragment,truncated_fragment
project as mentioned in general guidelines,Project shall be assessed based on following criteria,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6385,11,1,0.0769,1,lab_or_project_course,lab_or_project_course
modelling Creating new features from existing data,Regression Model Evaluation,2166120,Visualization Lab,SEM-V.pdf,0.2503,4,1,0.0,0,lab_or_project_course,lab_or_project_course
standardization techniques,regression. Estimation of coefficients using Least Squares,2166120,Visualization Lab,SEM-V.pdf,0.0919,9,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Implement Floyd Warshall Algorithm,Implement Rabin-Karp algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3905,4,1,0.3333,1,lab_or_project_course,lab_or_project_course
Introduction to Python and,Python Libraries: NumPy,2166120,Visualization Lab,SEM-V.pdf,0.5054,2,1,0.1667,1,truncated_fragment,truncated_fragment; lab_or_project_course
Students shall convert the best solution into a working model using various components of their domain areas and,"In continuous assessment, focus shall also be on each individual student, assessment based on the individual’s",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3926,7,1,0.0667,1,length_bound,length_bound; admin_rubric_noise; truncated_fragment; publisher_citation; subject_mismatch; lab_or_project_course
Follow MVC pattern optionally,Events for light changes,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0443,2,1,0.0,0,lab_or_project_course,lab_or_project_course
regression. Estimation of coefficients using Least Squares,Outlier Detection using Distance based method,2166120,Visualization Lab,SEM-V.pdf,0.1388,14,1,0.0833,0,subject_mismatch,subject_mismatch; lab_or_project_course
Kar lPearson’s Coefficient of correlation(r) Spearman’s,two moments,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2866,8,1,0.0,0,publisher_citation,publisher_citation
Choosing the right DevOps tools and challenges,on DevOps adoption and automation practices,2165113,Agile Software,SEM-V.pdf,0.6125,7,1,0.1818,1,truncated_fragment,truncated_fragment
"and Benefits, DevOps Principles and Practices",Source Tools in DevOps,2165113,Agile Software,SEM-V.pdf,0.6199,6,1,0.125,1,truncated_fragment,truncated_fragment
Self-learning Topics: Image file Formats,Self-learning Topics:  Comparison of,2166117,Digital Imaging,SEM-V.pdf,0.5992,1,1,0.375,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
"Agile Metrics, Agile Approach to Quality",The Agile,2165113,Agile Software,SEM-V.pdf,0.5755,4,1,0.1667,1,truncated_fragment,truncated_fragment
learning Topics: Case Studies on AI in,"Ritesh Modi, Solidity Programming Essentials: A Beginner's Guide to Build Smart",2166118,Blockchain,SEM-V.pdf,0.2168,7,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
three variables) using the method of Lagrange’s,fundamental theorem of arithmetic,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0501,10,1,0.0909,0,publisher_citation,publisher_citation; truncated_fragment
Version Control with Git,controller methods,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0052,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Merge sort and Quicksort for the given list of,Implementation of operations on B/B+-trees,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2048,13,1,0.0667,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Collection of Dataset,List of Sample Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2391,14,1,0.1429,0,lab_or_project_course,lab_or_project_course
Effective use of standard engineering norms,Clarity in written and oral communication,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1036,2,1,0.0,0,person_name,person_name; lab_or_project_course
Analytics and,Overview of data analytics,2166120,Visualization Lab,SEM-V.pdf,0.6717,2,1,0.2,1,truncated_fragment,truncated_fragment; lab_or_project_course
"learning topics: Total probability theorem, Bayes’",semester exam from self,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1573,3,1,0.0,0,publisher_citation,publisher_citation; admin_rubric_noise; truncated_fragment
connecting smart devices,"Differentiate between wired (UART, SPI, I²C) and wireless (NFC, RFID, Bluetooth",2166121,Internet of Things,SEM-V.pdf,0.3624,1,1,0.0,1,truncated_fragment,truncated_fragment
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”",Mike Cohn – Agile Estimating and Planning (Pearson),2165113,Agile Software,SEM-V.pdf,0.4513,4,1,0.1333,1,publisher_citation,publisher_citation
Feature importance and dimensionality reduction overview,Extension of simple linear,2166120,Visualization Lab,SEM-V.pdf,0.0645,8,1,0.0,0,person_name,person_name; subject_mismatch; lab_or_project_course
design by Don Norman,(Contact Hours),2165115,User Experience,SEM-V.pdf,0.1717,3,1,0.0,0,publisher_citation,publisher_citation; generic_lone_term; admin_rubric_noise
"enabled smart contracts, and how do they enhance automation?",Faculty of Science & Technology,2166126,Blockchain,SEM-V.pdf,0.1161,14,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Q1: How can AI be integrated with blockchain for fraud detection?,Q2: What are AI,2166126,Blockchain,SEM-V.pdf,0.4931,1,1,0.0714,1,admin_rubric_noise,admin_rubric_noise
MVC Architecture- Model: Business logic,linking model and view,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4535,4,1,0.125,1,lab_or_project_course,lab_or_project_course
b. Sudoku Solver (Prolog),Events for light changes,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.07,14,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Travelling salesman problem,Implement Naïve string matching algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1994,2,1,0.125,0,lab_or_project_course,lab_or_project_course
Run Time,At least Two Programs to understand Exception,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1382,1,1,0.0,0,lab_or_project_course,lab_or_project_course
Relationship between Dimensionality and,Model Accuracy,2166111,Machine,SEM-V.pdf,0.094,1,1,0.0,0,truncated_fragment,truncated_fragment
Get Mapping,Controllers and Services- Role of Controller in MVC,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0731,1,1,0.0,0,person_name,person_name; lab_or_project_course
Back-end development with Java Spring Boot introduction- What is Spring Framework? Why Spring Boot?,Spring Initializr,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.432,4,1,0.0769,1,lab_or_project_course,lab_or_project_course
b. ATM Simulator,Logic Programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2788,3,1,0.0,0,tool_fragment,tool_fragment; lab_or_project_course
Implement Prim’s and Kruskal’s algorithms,Backtracking and Maximum flow Networks,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2999,2,1,0.1,1,publisher_citation,publisher_citation; lab_or_project_course
involving ordinary differential equations (up to 2nd order,Hal Frange Sine and Cosine Series,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1501,11,1,0.0,0,truncated_fragment,truncated_fragment; subject_mismatch
Packages and Import statements,document spacing,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0315,12,1,0.0,0,person_name,person_name; lab_or_project_course
Computer Network Simulation in NS2 Basic Concepts and Protocol Implementation.-Prof Neeraj Bhargava,First Edition. BPB Publication,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0449,4,1,0.0,0,publisher_citation,publisher_citation
Fourier Series,Spearman’s Rank correlation coefficient (R) (with,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0502,9,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Self-learning Topics: Derogatory and non,Quadratic forms,2344111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0298,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Fourier series of periodic,Lines of regression,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,-0.0031,9,1,0.1667,0,truncated_fragment,truncated_fragment
Self-learning Topics: Finding minimum and,Self-learning Topics: Job sequencing with,2013113,Analysis of,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.6063,3,1,0.3333,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Text Books,"Dr. Asharaf S. & Sivadas Neelima, “Blockchain Technology: Algorithms and",2166118,Blockchain,SEM-V.pdf,0.1445,2,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
Students shall convert the best solution into a working model using various components of their domain areas and,"The progress of the mini project to be evaluated on continuous basis, minimum two reviews in each semester",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.34,6,1,0.0606,1,length_bound,length_bound; admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
"Use map, reduce, filter extensively",Immutable data structures,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2769,2,1,0.0,1,lab_or_project_course,lab_or_project_course
fibonacci series,Implement simple Calculator,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2217,1,1,0.0,1,lab_or_project_course,lab_or_project_course
"environment and Basic operators, types, prelude",Write a recursive function to multiply two,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0565,14,1,0.0,0,person_name,person_name; subject_mismatch; lab_or_project_course
a. Chatbot using Python (OOP + Functional),b. File Organizer Script,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1443,3,1,0.0,0,lab_or_project_course,lab_or_project_course
"Question 1 is compulsory, and it should include sub","The question paper should contain six questions, each of 15 marks",2165113,Agile Software,SEM-V.pdf,0.4588,4,1,0.1111,1,admin_rubric_noise,admin_rubric_noise
Introduction to Java EE- Need for Java EE in enterprise applications,MVC Architecture- Model: Business logic,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2095,2,1,0.0,1,lab_or_project_course,lab_or_project_course
Implement simple Calculator,Students should clearly understand the syntax and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2918,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment; lab_or_project_course
Use procedural logic + OOP for file operations,Driven Programming,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3113,1,1,0.0,1,lab_or_project_course,lab_or_project_course
character effects,and mobile-first design principles,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1624,6,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
"Students in a group shall understand the problem effectively, propose multiple solutions, and select the best possible",Guidelines for Assessment of Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1419,5,1,0.0,0,length_bound,length_bound; admin_rubric_noise; lab_or_project_course
"Introduction to Algorithms Cormen, Leiserson, Rivest, Stein PHI 3rd Edition","Algorithm Design Jon Kleinberg, Éva Tardos Pearson 1st Edition",2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6279,1,1,0.0556,1,publisher_citation,publisher_citation; lab_or_project_course
Standard and Canonical of LPP,Simplex method,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1656,4,1,0.0,0,person_name,person_name; subject_mismatch
Flow Control (Simple Problems),Scheduled Access (Reservation,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0777,5,1,0.0,0,truncated_fragment,truncated_fragment
and remaining 40% to 50% of syllabus content must be covered in Second IA Test,(1)Question 1 is compulsory,2165113,Agile Software,SEM-V.pdf,0.3505,13,1,0.0,0,truncated_fragment,truncated_fragment; admin_rubric_noise
Practical & Oral Exam: An Oral & Practical exam will be held based on the above syllabus,Prerequisite To study and explore Tinkercad Simulator,2166121,Internet of Things,SEM-V.pdf,0.2327,2,1,0.0,1,length_bound,length_bound; admin_rubric_noise; tool_fragment
Edge and Fog Computing platforms and Services,Self-learning Topics: Applications of AI in Edge,2166124,Edge Computing,SEM-V.pdf,0.4297,1,1,0.0769,1,admin_rubric_noise,admin_rubric_noise
Displaying Sensor Data on a Local Web Server using Flask and RPi,Interfacing Soil Moisture Sensor with any board and Uploading Data to,2166121,Internet of Things,SEM-V.pdf,0.3245,3,1,0.15,0,truncated_fragment,truncated_fragment
and basic understanding of facts and rules,understand declarative programming concepts,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4566,3,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
"like Supply chain, Healthcare, Energy, Education","Dr. Asharaf S. & Sivadas Neelima, “Blockchain Technology: Algorithms and",2166118,Blockchain,SEM-V.pdf,0.1201,8,1,0.0,0,person_name,person_name; publisher_citation; truncated_fragment
utilizing grid systems and essential components like headers,application. Properties,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0597,11,1,0.0,0,lab_or_project_course,lab_or_project_course
"students, as it is a group activity",The solution to be validated with proper justification and a report to be compiled in a standard format of the,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0924,12,1,0.0455,0,length_bound,length_bound; truncated_fragment; lab_or_project_course
(only up to s3 in denominator),Fourier series of even and odd functions (simple functions,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0023,12,1,0.0,0,truncated_fragment,truncated_fragment
Introduction to Python and,Concept of dependent and independent variables. The,2166120,Visualization Lab,SEM-V.pdf,0.1974,14,1,0.1,0,truncated_fragment,truncated_fragment; lab_or_project_course
Regression Model Evaluation,Introduction to logistic regression for classification Logit,2166120,Visualization Lab,SEM-V.pdf,0.2796,7,1,0.1111,1,lab_or_project_course,lab_or_project_course
NLPP with one and two equality constraint (two or,Artificial variables,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2154,2,1,0.0,1,truncated_fragment,truncated_fragment
and advanced features like CSS Grid,embedded server,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1596,10,1,0.0,0,person_name,person_name; truncated_fragment; lab_or_project_course
Reference Books,Online References,2165113,Agile Software,SEM-V.pdf,0.6888,6,1,0.0,1,person_name,person_name
